titre,objet,mot_cle
"INTERNATIONALE TAI CHI CHUAN ASSOCIATION, ITCCA DU MILLAVOIS (STYLE YANG ORIGINEL)","Diffuser par tous moyens la philosophie et la pratique de Tai Chi Chuan, style Yang originel, représenté à Londres par Maître Chu King Hung. Maintenir la qualité de l'enseignement promu par l'Internationale Tai Chi Chuan Association du Millavois, en choisissant de recevoir l'enseignement d'un membre agréé par Maître Chu. Mettre à disposition des enseignants les moyens de leur formation et de leur engagement au sein d'ITCCA.",yang
ASSOCIATION DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT IZAIRE,"créer du lien enfants/famille/équipe enseignante au sein de l'école ; créer des actions générant un bénéfice afin de financer des projets ; les activités périscolaires festives, sportives et/ou culturelles à l'intention des élèves et de leur famille sont déstinées à soutenir l'action éducative de l'enseignant, sans se substituer au rôle pédagogique de celui-ci et à promouvoir l'éveil des enfants",ecole
CONSEIL DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT LAURENT D'OLT,"Regrouper l'ensemble des parents d'élèves de l'établissement scolaire, formuler en leur nom des voeux sur tout objet concernant les intérêts moraux et matériels de l'école, des élèves ou de leurs parents, en suivre la réalisation et veiller à leur application. Rassembler, présenter ou éditer pour les familles toute documentation relative aux études et débouchés scolaires ou professionnels. Propager et défendre l'idéal laïque, promouvoir et faire créer un service public unifié et laïque de l",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE VEZINS,Récolter des fonds mis à disposition de l'équipe éducative et établir des liens entre l'école et les parents.,ecole
PARENTS D'ELEVES DE L'ECOLE PRIMAIRE DU PUITS DE CALES,Gérer les activités scolaires et extra-scolaires.,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE LIBRE,"Grouper les chefs de famille ayant la charge des enfants inscrits à l'école. Toute activité susceptible d'apporter un soutien matériel et moral à l'école, aux familles et aux maîtres. L'entente avec toutes associations semblables.",ecole
LA GRANGE AUX REVES,"Faire vivre le lieu-dit La Ferme du Moulin de Len, et gérer les activités qui s'y déroulent. Encourager la culture, la créativité, les activités artistiques et corporelles. Proposer un lieu de rencontres ouvert et dynamique. Participer à l'effort actuel de développement du Sud Aveyron. Sensibiliser aux médecines douces, au patrimoine, au respect de l'environnement et de la nature. Mettre en avant des valeurs telles que la vitalité, le partage, la joie de vivre.",ouvert
SOUTIENS AUX MALADES ALCOOLIQUES (S.M.A.),"Informer, soutenir et aider toutes personnes confrontées de près ou de loin aux problèmes liés à l'alcoolisme.",loin
AMICALE DES DONNEURS DE SANG BENEVOLES,susciter le don volontaire et bénévole du sang ; inciter au respect du code d'honneur des donneurs de sang bénévoles,sang
O.G.E.C. ECOLE PRIVEE LES AMANDIERS,"dans le respect du droit français d'une part, des textes fondamentaux de l'enseignement catholique et des accords conclus en son sein d'autre part, assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente ; se livrer à toute activité se rapportant directement ou indirectement à l'éducation, l'enseignement, la formation et la culture sous toutes ses formes ; à cette fin, pouvoir réaliser toutes activités parascolaires, telles que accueil, transport, hébergement, restauration, mise à disposition de locaux, et d'une manière générale, se livrer à toute activité de quelque nature que ce soit, en lien avec son objet principal ; pouvoir passer convention avec l'Etat, les collectivités territoriales ainsi qu'avec tout organisme concourant même partiellement à son objet ; pouvoir acquérir tous les biens nécessaires à la réalisation de son objet ou en avoir la jouissance",ecole
"ENTRAIDE MILLAU-MALI, OEUVRE DE SOEUR ANNE-MARIE SALOMON MEDECIN A GOSSI (MALI)","A pour objet exclusif l'assistance et la bienfaisance à l'égard des populations nomades et sédentaires du Nord Mali, auxquelles s'adresse l'oeuvre de Soeur Anne-Marie SALOMON, médecin, dans tous les domaines de ses activités et prioritairement dans le domaine de la santé.",mali
GEOBIO 12,"promouvoir et développer la géobiologie préférentiellement en milieu rural dans le cadre d'une activité agricole en élevage, principalement au niveau de la région Midi-Pyrénées mais aussi au niveau national ; s'appuyer sur des connaissances techniques du fonctionnement des exploitations agricoles ; encourager la formation et l'information ; permettre de créer un réseau de personnes actives dans la géobiologie en relation avec le réseau national ; viser à apporter un service technique",midi
ASSOCIATION DES PARENTS D'ELEVES ET DES AMIS DE L'ECOLE PUBLIQUE DE SAINTE EULALIE DE CERNON,sauvegarder l'école publique et aider à la scolarité,ecole
